protein_A,protein_B,interacts
P49759,Q9NX58,No
Q16881,Q96HL8,No
Q99250,O14717,No
P39687,P56192,No
P42773,Q00013,No
P09104,P32942,No
O15169,O15527,No
P29692,O00757,No
O75525,Q05193,No
Q16621,P24666,No
Q99250,P61289,No
P43235,O75381,No
P34896,O96007,No
Q13459,Q15059,Yes
P11021,Q96G74,No
P21246,Q9BYC9,No
P19793,P60484,No
P24522,P38936,Yes
P11142,Q96E40,No
P08670,Q9UNZ2,No
P30044,P00505,Yes
Q06609,P06400,Yes
Q13227,O00560,No
P35244,Q9BSI4,Yes
P06493,P12004,Yes
P00533,Q8N8Q3,No
P50542,O95466,No
Q9NYY3,Q8N6T7,No
P05090,Q9NPJ4,No
Q14181,Q13547,No
P13497,Q96AE4,No
Q15262,P58340,No
P18858,P40306,No
Q16658,P14174,Yes
O95630,O15211,No
Q06323,Q96EP1,No
P00797,P05231,No
P98175,P33240,No
P19367,Q99081,No
P36957,O15197,No
P23246,O43312,No
O60260,P01040,No
P24394,O75899,No
P13497,Q03405,No
P10451,P22314,No
Q8WWI1,P63104,Yes
P27694,P31994,No
P55316,Q04724,Yes
Q00610,P30153,Yes
Q9Y2U9,P62826,No
P04181,P30084,Yes
Q9BQ04,Q15046,No
P30153,Q15560,No
P02766,Q86YP4,No
P63165,P41220,No
Q09472,P18848,Yes
Q13547,Q92997,No
P61956,P63167,No
Q8WV44,Q15005,No
Q13257,P63167,Yes
P60709,P09651,Yes
Q96PU5,P08133,No
P02794,Q16658,Yes
Q9BYC9,P30086,No
P21246,P62861,No
P21579,Q15811,Yes
Q14318,P08670,Yes
P02008,O43292,No
P04632,Q12988,No
Q8IX03,Q9H0B6,No
P36957,Q9UEU0,No
Q92597,Q12906,Yes
O75689,O75874,No
Q86YP4,Q9HCU9,Yes
Q8WYH8,Q9NPI1,Yes
Q6P1J9,Q03468,Yes
Q05516,O00267,No
Q96BY9,P49888,No
P02771,P33240,No
P61224,Q02750,Yes
Q16621,O60315,No
O96007,P04181,No
Q02750,P63104,Yes
Q13219,O76061,Yes
Q14155,P62826,No
Q14690,P49675,No
Q9BQ04,P52565,No
O75807,O95760,No
Q9BUL5,P31943,No
Q15843,Q96G74,Yes
P12956,P06746,No
O15197,O43504,No
P43034,Q15181,No
O60885,Q14181,Yes
O94953,O15235,No
O14640,P26885,No
Q92993,Q9NPJ4,No
Q9UQF2,Q9NY59,No
P11309,Q9UKK9,No
P52788,Q9UBS3,No
P48443,Q13885,No
Q96GM8,P52565,No
P60709,P31943,Yes
Q9P287,Q99759,No
O15530,Q86XP3,No
P52298,Q15233,Yes
Q9H063,O14737,No
Q96RR1,Q96HS1,No
Q00613,P50336,No
P22234,P18206,No
Q6P1J9,O43765,Yes
Q9UQL6,Q13011,Yes
Q9UQ90,P01909,No
O00291,Q9NX58,No
Q9Y296,Q09472,No
O60884,O95376,No
P07858,P05109,No
P63000,P61224,Yes
P46379,Q14204,Yes
P18206,Q9UBS3,No
Q15758,Q9NUT2,Yes
P24941,Q9UM13,Yes
O95704,O14832,No
Q9NTK5,P07737,No
O15169,O60256,No
Q9NPI1,P04899,No
O00257,Q13263,Yes
Q9UQL6,P30153,Yes
P56470,P05154,No
P35579,Q8NCC3,No
Q13510,Q15233,Yes
P60880,P21695,No
Q96CD2,P05091,No
Q14974,Q71U36,Yes
Q9UPT6,Q9UNI6,No
Q13636,Q9NX18,No
P55769,Q9UQ80,Yes
Q15434,O43390,Yes
P42858,P01040,No
Q8NI35,P47929,No
Q9NTM9,Q8N159,No
Q9NQW7,P30281,No
P32456,P22736,No
O76003,Q12906,No
O15235,P30086,Yes
Q9Y237,P63146,No
P60174,P42858,Yes
P35579,Q15554,Yes
Q8NI35,P01033,No
P23246,P17936,Yes
Q12824,Q9NP72,No
Q8N8Q3,Q9Y343,No
P10809,P61026,Yes
P47756,P36957,Yes
P04844,Q9BWV1,No
Q06323,Q9UKV3,No
O75400,Q08945,Yes
P07814,O43639,No
Q92879,Q13200,No
Q13526,Q00536,No
P61026,P11142,No
P06493,P29350,Yes
O00762,Q9Y343,No
Q96RR1,P01040,No
P13747,Q9UNI6,No
P08243,Q9H3H3,No
O14640,Q99685,No
Q16827,Q8NCC3,No
P07900,Q8N8Q3,Yes
Q99963,Q13232,No
Q14240,Q9H4T2,No
Q13112,O60885,Yes
Q9NWY4,Q9GZU1,No
P62995,O43390,No
O14640,Q9H3H3,No
P49321,O75828,No
P09467,P11309,No
Q16658,Q14318,Yes
P62995,P78417,No
O00151,P43307,No
P61221,P08559,Yes
Q13330,P30519,No
P61026,P02794,No
P07900,P15822,No
Q96EP1,P51784,No
P12830,Q09472,Yes
Q15434,Q9H1I8,No
Q9H773,Q08116,No
P38936,Q13547,Yes
O75569,P52209,No
P11142,P20700,Yes
O60256,P05109,No
P48643,P53041,Yes
Q13523,O15530,No
Q15758,P60763,Yes
P26641,P62937,No
O14976,Q9H1I8,No
O95166,P16435,No
P84090,P31943,No
P60174,Q9HCU9,No
Q8IX03,P18669,No
P48443,Q8N2Y8,No
Q96GD3,Q9NTX7,No
P52788,O14777,No
Q08379,P11172,No
Q15121,O15211,No
P11021,Q99759,Yes
Q13459,Q9H5I1,No
P05091,Q08945,No
P68871,P02100,Yes
Q96B36,P01215,No
P51671,O75874,No
P26641,P58340,No
Q00013,P01040,No
Q9NX46,O75381,No
Q6IAA8,P11166,No
P49736,P17480,No
Q9Y265,Q86YP4,Yes
P61289,Q9BYC9,Yes
Q9HA47,Q99759,No
Q15047,Q8TBC4,No
P14866,P56962,Yes
P23246,Q9UQL6,Yes
Q96RR1,Q13541,No
Q9P287,Q15233,No
O75936,P60484,No
P35244,Q92993,Yes
P11021,O43765,No
Q6P1J9,Q8IXH7,No
P18859,Q93050,Yes
Q9NTK5,O75962,No
Q9UPY8,Q9H169,No
P19419,Q8NCC3,No
Q53H47,P15090,No
P26358,P07305,Yes
Q9GZT6,P29692,No
Q07866,P29074,No
Q12824,Q96AE4,No
P06865,Q8IXH7,No
Q96PU5,P00390,No
Q8WWQ0,P40306,No
Q13885,P51159,No
Q14790,P20338,Yes
Q9NRS6,Q9UPT6,No
Q6P9B6,Q15645,Yes
P32456,P06746,No
P60033,P00505,No
P14314,Q8N2I9,No
O95166,P55212,No
P35080,P59998,Yes
Q07869,Q13625,No
P21579,P04156,No
O14744,P51114,Yes
P24534,Q13867,No
O14893,Q9UM54,Yes
Q7L5D6,Q8NFP7,No
P14091,Q9H4T2,No
P62979,P61088,Yes
O75398,Q8WXF1,No
Q9C026,Q15397,No
Q16881,Q05193,No
P62979,O00762,Yes
O75251,P32249,No
P09211,Q03013,Yes
O95445,O94762,No
Q9UHX1,P50336,No
P68871,O00329,No
Q9H0H5,Q9BPX5,No
Q99700,Q99962,Yes
P04844,Q9HD15,No
O76003,O60885,Yes
Q13547,P16220,Yes
P24941,Q06830,Yes
O60256,Q9NZL4,No
Q96PU5,P13727,No
Q14790,Q92692,No
O14732,O60885,No
P11169,P25189,No
P07814,Q4VC44,No
Q16658,P09104,Yes
Q9NVJ2,Q9UQB8,Yes
P42773,P00491,No
P04179,P30044,Yes
Q07869,P68400,No
P39748,Q9NVJ2,No
Q9Y294,O60885,No
Q13813,P42568,No
O75962,P32004,No
P68871,P53621,No
O43504,P31943,No
Q8WV44,P04181,No
P60880,Q13867,No
Q9NXU5,Q9Y5U2,No
Q9Y2W2,P51965,No
Q13123,Q9GZN7,No
O95568,Q92598,No
P51693,Q13867,No
P27448,P01270,No
P13727,P04439,Yes
Q96CS7,P42568,No
Q16881,Q9H1D9,No
Q8NE71,Q9BYD6,Yes
P63167,P53350,Yes
Q14318,O95696,Yes
Q8NE71,P52209,No
O94762,P78314,No
P41220,O76071,Yes
Q9H4M7,P11274,Yes
P42858,Q9BYW2,Yes
Q53H47,Q9NPH0,No
Q9Y4P8,P62820,No
P14902,Q08116,No
Q9NVX7,Q9UKK9,No
P08559,O14531,No
P60520,Q8N6T3,Yes
P03950,Q9BY11,No
Q96GD3,Q86VK4,No
P07900,Q99962,No
P49321,Q8NFP9,No
Q13459,Q9Y483,No
Q9UPY8,Q99873,No
P02774,P23528,Yes
Q9H8U3,Q9Y295,No
P02775,Q8N8Q3,No
O14907,P35579,No
P04632,Q9GZU1,No
P63167,Q15388,Yes
O95639,P62136,Yes
Q14155,Q99963,Yes
P07942,P05556,Yes
P63104,P09211,Yes
Q99616,Q9UNI6,No
O00329,P58340,No
Q12809,Q92956,No
Q13325,P29074,No
Q9Y295,Q6PGP7,Yes
P02794,P62861,No
P14866,P22061,No
Q8WY91,P06746,No
P07900,P51965,No
O76061,Q9H840,No
P36957,P01111,No
Q9NWY4,P84077,No
Q13459,Q06830,No
P84090,P02008,No
Q15121,P35637,No
O60884,Q9H1I8,Yes
P63167,P14091,No
Q9UBT2,Q8NCC3,No
P61769,P58340,No
P09466,Q8N2Y8,No
Q969G6,Q96HL8,No
Q9NRS6,P56192,No
P05388,Q9NX18,No
P02008,P21127,No
P18858,Q09013,No
P49458,Q969S3,Yes
P68104,Q15910,No
P11021,P07237,Yes
Q9Y6K8,P60520,No
P63104,Q9H0B6,Yes
P63165,Q9Y295,No
P50542,P34913,Yes
Q9UHX1,Q8NCC3,No
Q08945,P00491,No
P19793,Q13263,No
Q03393,Q99496,No
O60885,P22234,Yes
P61956,Q96E40,No
Q8TEY7,Q8N5F7,No
Q9NQW7,Q92575,No
Q8TDM6,P13727,No
P42858,O94762,No
Q92597,Q9UMS0,No
Q96IZ0,P84077,No
P49759,O43240,No
Q71DI3,Q9H9F9,Yes
Q13325,P55316,No
Q9P287,P01215,No
Q96GD3,O14777,No
Q9NRS6,Q99759,No
O14976,P21695,No
Q71U36,P48643,Yes
P24394,O60333,No
Q53H47,Q13158,No
P31943,Q15388,Yes
P09960,P35914,No
P13686,Q13332,No
O14640,Q8N6T7,No
Q8NI35,P00505,No
Q92993,P52757,No
Q13332,P50616,No
P43034,Q9UHF0,No
P26641,P19838,Yes
Q9NQC3,Q9Y2V2,No
Q13330,Q86YP4,Yes
P62820,P09651,Yes
Q9Y4W6,P04792,No
Q13426,Q8TF65,No
P68871,P05090,No
P98175,P55774,No
Q9NP59,Q8IWE5,No
Q9Y296,Q9Y2V2,No
O75525,P56945,No
Q71U36,O00273,Yes
O95568,O75569,No
Q86YP4,P08758,No
Q9NQC3,Q13765,No
Q00013,P06746,No
Q96KS0,P31943,No
Q9NTK5,Q9UK61,No
Q14690,P51965,No
P68104,Q9UBT2,No
P55209,Q96HL8,No
Q9UPT6,Q96FE5,No
P08670,Q15910,No
P23381,Q16760,No
Q92540,O00757,No
O00422,Q13123,Yes
O60885,P40227,Yes
Q7L2H7,Q9NPJ4,No
Q969G6,P42330,No
Q9UNE7,O60884,Yes
P00918,Q53FA7,No
Q7Z3C6,Q8NCD3,No
Q13227,Q16760,No
P62995,P55769,Yes
Q03013,P41220,No
P36957,Q9BV38,No
P37268,Q99417,No
O75832,P35998,Yes
P19419,P62820,No
O00291,Q9H840,No
Q9UBT2,P60033,No
Q9H0H5,Q8IYT8,No
P20700,P19793,Yes
P23381,O15496,No
O75400,Q14318,No
Q9NXU5,Q13123,No
P61956,P51784,No
Q13107,Q9BXJ8,No
Q15233,P24593,No
P16220,P01270,No
P14902,P62979,No
Q8TEY7,P78417,No
P78364,Q99700,No
O00422,Q16760,No
P68032,Q96BY9,No
Q9NTG7,P50616,No
P11441,P04792,Yes
P05787,P26358,No
P04632,Q53FA7,No
P49321,O15496,No
P04637,Q13200,Yes
Q9P1W9,Q9HCU9,No
P08670,P18669,No
P60709,P35244,Yes
P08559,Q99685,No
P30153,P40227,Yes
P14091,O00151,No
P06400,P25445,Yes
P63167,O60502,No
O14640,P55769,No
Q06323,O60256,No
P63208,Q9Y2S7,No
P12956,O75899,No
P13686,P06396,No
P42858,Q8NG27,Yes
O43570,O14777,No
P29692,Q92540,No
P35998,O14678,No
Q13011,Q14203,No
Q15046,P07814,Yes
Q16643,Q9NX18,No
Q14690,Q96P48,No
O00273,Q9H169,No
Q9UQ90,P53041,No
Q969G6,Q5SZQ8,No
P63167,P43034,Yes
Q9P2J2,Q13148,No
P08670,P49419,No
P41567,P33240,No
Q8NG27,Q8N2Y8,No
O95445,Q06609,No
Q93091,Q02363,No
Q16539,Q9HA47,No
Q08379,Q96AE4,No
P08670,Q93077,No
P11169,P50616,No
O60234,Q8TF65,No
Q9UII2,P56192,Yes
Q13885,P25445,Yes
P62937,Q13885,No
Q99584,O75534,No
P02792,P50542,No
Q99873,Q9BY11,No
P80098,P52565,No
O75381,P0CG48,Yes
Q9Y295,P68400,Yes
Q14524,Q9BV38,No
P16220,Q8WXF1,No
Q15645,Q9Y4G2,No
O00422,Q13523,Yes
P04632,Q9H840,No
Q9H1J1,P50402,No
Q9NWY4,Q9NYY3,No
P84090,P05154,No
P32004,P05556,Yes
P05090,P60484,Yes
O00291,Q13501,Yes
P62979,Q96CT7,Yes
P19419,Q92575,No
Q13148,Q99496,Yes
Q9H8U3,P13686,No
P35251,P63146,Yes
Q13011,O43765,No
Q9Y4P8,Q92540,No
P14866,O60333,No
P08631,Q12988,No
Q9HD67,Q8WWI1,No
P29692,O75807,No
P04844,P25445,No
Q92990,P30533,No
P49321,P01033,No
P26641,P11309,No
P19367,Q6P1J9,Yes
P14866,P11441,Yes
O14775,O14717,No
P00966,P49736,No
Q00610,P25103,Yes
Q86YP4,O94762,No
P49736,O75689,No
P63208,P05091,No
Q00613,P04792,Yes
Q9UQF2,Q8TF65,No
Q13885,Q9UQ90,No
Q99963,P01215,No
Q13547,Q9Y2V2,No
Q9HA47,Q9NTX7,No
P27448,O75381,No
Q13523,Q9Y265,No
Q6PI98,O43252,No
P0DP23,P15882,Yes
Q96RL1,P22061,No
Q92540,O95372,No
P06858,Q9BX70,No
P07900,Q9H4M7,Yes
Q9UHX1,Q9Y265,No
Q9UEU0,O75381,No
Q9UQB8,P01111,Yes
Q8NG27,O60701,No
P09936,P09211,Yes
Q08495,P16152,No
P02792,Q9NRC8,Yes
Q08345,O75689,No
Q15047,P68402,No
P01111,P35269,No
Q9Y4P8,Q96P48,No
Q9HCK4,O95376,No
Q9HCK4,P61077,No
Q96GD3,P05787,No
Q9Y237,P15090,No
Q9Y265,P37268,Yes
P02775,Q13951,No
Q13838,Q53FA7,No
P68032,Q99685,No
Q9NUT2,P17028,No
Q13459,P17540,No
Q9NWV4,Q9ULU8,No
P53602,Q9Y2S7,No
P59998,Q15910,No
P04406,P68032,Yes
O96013,P01111,Yes
P35914,P50542,Yes
P29692,Q15397,No
Q53H47,P53779,No
Q96PU5,Q13332,No
P04179,Q9UMS0,No
P39748,P02768,No
Q14558,O00305,No
Q6IAA8,Q9NZL4,No
Q6P1J9,Q13123,No
P68871,P62979,No
Q8NFP9,O60260,No
P61956,O43570,No
P02787,O95466,No
O95639,P45984,No
P14866,P46100,Yes
O14976,O15235,No
Q14790,O60543,No
Q16881,Q5SZQ8,No
Q15397,P26373,Yes
P61956,Q15645,Yes
Q16543,Q9Y4P8,Yes
Q96GM8,O14777,No
Q15434,Q99759,No
Q7L2H7,O43240,No
Q13526,P07858,No
O95163,O95696,No
Q14790,P09466,No
O75689,Q9UHF0,No
Q93015,P32004,No
Q9NX46,Q9NPH0,No
Q8N6T3,Q8N5F7,No
O14640,Q96Q04,No
P06865,P05091,Yes
Q14919,Q08116,No
Q86YP4,Q13951,No
O14775,P04792,No
Q96PU5,Q9UBS3,No
P24394,Q9NY59,No
Q02750,Q86VP6,Yes
P50542,Q92990,Yes
P12830,P07900,Yes
Q06323,O14832,No
O15169,P54646,Yes
Q8IWR0,O95696,No
P05090,O43240,No
P30153,O14832,No
Q9H668,Q9BSI4,Yes
P38936,O14832,No
P00797,Q9NX58,No
Q16539,P04637,Yes
P18848,P51965,No
Q9NYZ3,P30533,Yes
Q9UQF2,Q9UH03,No
P29074,P07108,No
P63167,Q9Y4W6,No
Q86VK4,O95466,No
Q8TDM6,Q92997,No
Q14524,P30044,No
P05388,P60520,Yes
P55789,P02792,No
O95994,Q13200,Yes
O95163,P04899,No
P23528,P02774,No
O94762,Q99653,No
Q9Y233,Q00536,No
O60493,Q9ULC4,No
P07814,P0CG48,Yes
P23381,Q9BY11,No
P42858,P35637,No
Q9GZT6,P17858,No
P08631,P09960,No
Q9NPI1,P22234,No
P29762,Q12929,No
P20700,P60520,Yes
Q14194,O00305,No
Q9UIF7,Q16643,No
P23284,O60701,No
Q9UM54,Q9BWV1,No
P04844,Q9UQB8,No
Q8WYH8,P27448,No
P14618,P07437,Yes
Q96CD2,P55769,No
P14618,P23528,Yes
O15235,Q9H4M7,Yes
P06858,P02794,No
O94953,Q96L34,No
Q99616,Q9ULU8,No
O60493,Q8NCD3,No
Q13501,P32456,Yes
Q96CS7,O43292,No
P08670,P08631,No
P19367,Q9Y2W2,No
P07858,O60234,No
Q14690,P51513,No
O15169,P04637,Yes
Q99759,O75674,Yes
Q9Y5U2,P11166,No
P68032,Q96P48,No
Q8N8Q3,O43240,No
Q08345,P39748,No
P08670,P07858,No
O75962,Q13813,No
Q9BQ04,P51784,No
P59998,P52209,No
Q13227,Q13263,No
P12956,P58340,No
Q15022,P27986,Yes
P52565,P00918,Yes
Q13332,O95571,No
Q96GD3,Q16539,No
P51114,Q96HL8,No
Q9Y294,Q15397,No
P27448,Q9NWZ3,No
Q13227,Q9NZM3,No
P42773,P51965,No
P43034,P55212,No
O14744,Q9BY11,No
Q92597,O14775,No
P23381,P42330,No
Q14155,Q8N2Y8,No
P35475,O14777,No
Q9UEU0,P49675,No
P24394,Q4VC44,No
Q9UNN8,Q99417,No
O76003,P12931,No
P12931,P56945,Yes
Q08945,Q13330,Yes
P60880,Q9UHX1,No
P42858,Q8NCD3,No
Q9H3S7,Q92598,Yes
Q9P1W9,P31943,No
Q14919,Q9BXR0,No
O60234,Q12929,No
O76003,P05026,No
Q15233,Q92879,Yes
Q06830,Q16658,Yes
Q13011,P41220,No
Q9Y233,O75319,No
P54578,P35998,Yes
Q02750,Q8IWR0,Yes
P01111,Q6IAA8,No
Q00613,Q13123,No
P61006,P05154,No
P07814,P50570,No
Q13123,Q9NQW7,No
P06493,Q13263,Yes
P62995,Q14203,No
Q9Y2W2,Q9NZL4,No
P68871,Q92540,No
Q9H063,Q9NYQ6,No
Q9BUL5,P48443,No
P62979,Q969X6,Yes
Q8TEY7,O60260,No
Q96E40,P34913,No
Q96KS0,P50336,No
Q9H773,P15090,No
P39748,Q02363,No
Q96GD4,P05109,Yes
O14640,P63000,Yes
P19793,P19838,Yes
Q15843,P54105,Yes
P07858,P59998,No
P51693,Q9UM54,No
Q9UPT6,P17858,No
Q96G74,P32004,No
P48443,Q13951,No
P17174,P50616,No
Q9Y296,P56192,No
O95696,Q9NPI1,Yes
P68400,Q09472,Yes
P11021,O15371,Yes
P46100,P49736,Yes
P14091,P29074,No
Q13432,P68871,No
Q9GZQ8,Q14318,No
P06858,P47897,No
P06576,Q6P2Q9,Yes
Q9H3S7,O95989,No
P14866,Q8TBC4,No
O14976,Q00610,Yes
P84090,Q12988,No
P09104,P18669,Yes
Q9NZD4,P35609,No
O60234,P01270,No
O14733,Q12809,No
Q9BZI7,Q9NYQ6,No
P40925,P16284,No
Q12809,Q9UBS3,No
P16403,Q09013,No
O96013,P29074,Yes
P05387,Q9UQ80,Yes
Q53H47,Q9NS87,No
P26447,Q15645,Yes
Q9H773,P00390,No
Q14194,O75534,No
P29762,P04156,No
Q96E40,P05109,No
